# CSV-Datei erstellt auf csv-zusammenfuehren.de,,,,,,,
# -----------------------------------------------------------,,,,,,,
,,,,,,,
PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-18.20-13-2,1,ScatterPlot,none,0,3.61354,3,-0.43725216
p2017-11-18.20-13-2,1,ScatterPlot,none,1,4.094988,4,-2.1845043
p2017-11-18.20-13-2,1,ScatterPlot,none,2,4.4992404,4.5,-2.9912596
p2017-11-18.20-13-2,1,ScatterPlot,none,3,4.582149,4.8,-1.5443457
p2017-11-18.20-13-2,1,ScatterPlot,none,4,4.669857,4.9,-1.4935278
p2017-11-18.20-23-11,1,ScatterPlot,none,0,4.5956755,4.6666665,-2.3511405
p2017-11-18.20-23-11,1,ScatterPlot,none,1,4.6399994,4.6666665,-2.7210197
p2017-11-18.20-23-11,1,ScatterPlot,none,2,4.6704555,4.6666665,-2.9569194
p2017-11-18.20-23-11,1,ScatterPlot,none,3,4.6908016,4.6666665,-2.7453082
p2017-11-18.20-23-11,1,ScatterPlot,none,4,4.7181363,4.6666665,-2.5025067
p2017-11-18.20-26-7,1,ScatterPlot,none,0,1.4539171,1.5,-2.5472329
p2017-11-18.20-26-7,1,ScatterPlot,none,1,2.9410267,3,-2.4424314
p2017-11-18.20-26-7,1,ScatterPlot,none,2,3.1609428,3.1,-2.4270685
p2017-11-18.20-26-7,1,ScatterPlot,none,3,4.5183854,4.5,-2.8020298
p2017-11-18.20-26-7,1,ScatterPlot,none,4,4.6530147,4.6,-2.4899313
p2017-11-18.20-6-58,0,ScatterPlot,none,0,1.2007729,1,-1.6180617
p2017-11-18.20-6-58,0,ScatterPlot,none,1,1.9885731,2,-2.8737996
p2017-11-18.20-6-58,0,ScatterPlot,none,2,3.5166142,3.5,-2.8199623
p2017-11-18.20-6-58,0,ScatterPlot,none,3,4.0183454,4,-2.8024328
p2017-11-18.20-6-58,0,ScatterPlot,none,4,4.5514607,5,-0.80203587
p2017-11-18.21-15-54,1,ScatterPlot,none,0,3.9475718,3.9,-2.5347326
p2017-11-18.21-15-54,1,ScatterPlot,none,1,4.4519753,4.2,-1.4074571
p2017-11-18.21-15-54,1,ScatterPlot,none,2,4.563041,4.3,-1.365719
p2017-11-18.21-15-54,1,ScatterPlot,none,3,4.682241,4.6,-2.2706182
p2017-11-18.21-15-54,1,ScatterPlot,none,4,4.728988,4.7,-2.6991067
p2017-11-19.14-33-45,2,ScatterPlot,none,0,2.4076228,2.5,-2.2017276
p2017-11-19.14-33-45,2,ScatterPlot,none,1,3.803399,3.9,-2.1739638
p2017-11-19.14-33-45,2,ScatterPlot,none,2,4.2948194,4.1,-1.6446705
p2017-11-19.14-33-45,2,ScatterPlot,none,3,4.3695703,4.3,-2.3616383
p2017-11-19.14-33-45,2,ScatterPlot,none,4,4.5575886,4.4,-1.8232254
p2017-11-19.19-36-5,2,ScatterPlot,none,0,1.7303813,1.7,-2.6861162
